date;senders;receivers
1965-09-14;Dürr, Hans-Peter (1929-2014);Wellhöfer, Elisabeth
1970-12-14;Heisenberg, Werner (1901-1976);"Schneider, Friedrich (1913-1981); Max-Planck-Gesellschaft zur Förderung der Wissenschaften (1948-)"
1946-04-15;Read, F.;Hahn, Otto (1879-1968)
1946-04-05;Welsh, Eric;Heisenberg, Werner (1901-1976)
1946-03-04;Heisenberg, Werner (1901-1976);Welsh, Eric
1955-08-29;Heisenberg, Werner (1901-1976);"Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)"
1955-08-16;"Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)";Heisenberg, Werner (1901-1976)
1955-01-19;Heisenberg, Werner (1901-1976);"Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)"
1955-01-15;"Dohrenbusch, Hans; Redaktion Welt der Arbeit (Köln)";Heisenberg, Werner (1901-1976)
1956-10-08;Heisenberg, Werner (1901-1976);"Vogelhuber, Oskar (1878-1971); Welt der Schule. Schriftleitung"
1956-08-07;"Vogelhuber, Oskar (1878-1971); Welt der Schule. Schriftleitung";Heisenberg, Werner (1901-1976)
1954-11-24;"Schneider, Rudolf [vermutlich]; Welt der Schule. Schriftleitung";Heisenberg, Werner (1901-1976)
1954-11-04;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";"Schneider, Rudolf; Welt der Schule. Schriftleitung"
1954-10-25;"Schneider, Rudolf; Welt der Schule. Schriftleitung";Heisenberg, Werner (1901-1976)
1963;"Schwab, Günther (1904-2006); World Union for Protection of Life (1962-)";Heisenberg, Werner (1901-1976)
1973-05-04;"Giese, Annemarie; Max-Planck-Institut für Physik. Direktion. Sekretariat";World Union for Protection of Life (1962-)
1973-04-10;World Union for Protection of Life (1962-);Heisenberg, Werner (1901-1976)
1962-10-01;"Saller, Karl (1902-1969); World Federation of Scientific Workers (1946-1994)";Heisenberg, Werner (1901-1976)
1967-11-30;Heisenberg, Werner (1901-1976);Weltfriedensbewegung
1967-11-15;"Heimberg, Willy; Pieck, Ferdinand; Weltfriedensbewegung";Heisenberg, Werner (1901-1976)
